"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"73",3.4656821824277e-64,2.47215076008796,0.637,0.131,7.05682205985927e-60,"0","robo1","roundabout, axon guidance receptor, homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-000209-3]"
"74",1.67526655824938e-63,2.23249605950668,0.517,0.076,3.41117776590739e-59,"0","spon1b","spondin 1b [Source:ZFIN;Acc:ZDB-GENE-000427-10]"
"75",1.74743800845255e-63,2.47039838394499,0.479,0.06,3.55813327281109e-59,"0","mdga1","MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:ZFIN;Acc:ZDB-GENE-130530-751]"
"76",2.24706269448049e-63,2.23206487490974,0.573,0.099,4.57546905850118e-59,"0","CR392045.1","potassium channel subfamily T member 2-like [Source:NCBI gene;Acc:565691]"
"77",2.34516258390399e-63,2.12180685748579,0.573,0.102,4.77522005334531e-59,"0","dab1a","DAB adaptor protein 1a [Source:ZFIN;Acc:ZDB-GENE-060528-1]"
"78",8.68643924228028e-63,2.25466107192245,0.487,0.065,1.76873275851311e-58,"0","mcama","melanoma cell adhesion molecule a [Source:ZFIN;Acc:ZDB-GENE-090218-29]"
"79",1.44359766832907e-62,1.99828675070763,0.359,0.02,2.93945357225166e-58,"0","lnx1","ligand of numb-protein X 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9439]"
"80",3.23794175932313e-62,2.16979091344208,0.59,0.122,6.59309701033377e-58,"0","bsnb","bassoon (presynaptic cytomatrix protein) b [Source:ZFIN;Acc:ZDB-GENE-120628-1]"
"81",1.44929117495806e-61,2.226705862578,0.474,0.063,2.95104669044961e-57,"0","mmel1","membrane metallo-endopeptidase-like 1 [Source:ZFIN;Acc:ZDB-GENE-101112-2]"
"82",4.81865688241554e-61,2.23940700274449,0.795,0.283,9.81174914397452e-57,"0","rtn4r","reticulon 4 receptor [Source:NCBI gene;Acc:403306]"
"83",1.06965674788913e-60,1.93644542229356,0.376,0.027,2.17803507005184e-56,"0","march4l","membrane-associated ring finger (C3HC4) 4, like [Source:NCBI gene;Acc:100000640]"
"84",1.20247522747432e-60,2.58944695183512,0.363,0.026,2.4484800581832e-56,"0","kctd4","potassium channel tetramerization domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-040704-71]"
"85",3.75595644645272e-60,1.87436628769503,0.363,0.023,7.64787851626703e-56,"0","slc6a1b","solute carrier family 6 member 1b [Source:ZFIN;Acc:ZDB-GENE-041114-57]"
"86",9.34800123183707e-60,1.77130845993604,0.526,0.087,1.90344001082666e-55,"0","nr4a3","nuclear receptor subfamily 4, group A, member 3 [Source:ZFIN;Acc:ZDB-GENE-070824-4]"
"87",1.03104581547443e-59,2.55081093556747,0.427,0.049,2.09941548946904e-55,"0","kctd12.1","potassium channel tetramerisation domain containing 12.1 [Source:ZFIN;Acc:ZDB-GENE-030902-5]"
"88",9.26837320674841e-59,2.35748158486603,0.607,0.133,1.88722615235811e-54,"0","celf5a","cugbp, Elav-like family member 5a [Source:ZFIN;Acc:ZDB-GENE-050208-746]"
"89",5.06398350376927e-58,1.80993989576639,0.325,0.016,1.0311283210375e-53,"0","ncanb","neurocan b [Source:ZFIN;Acc:ZDB-GENE-050208-586]"
"90",2.18318481111119e-57,1.93409519871584,0.363,0.028,4.44540091238461e-53,"0","GRM7","glutamate metabotropic receptor 7 [Source:HGNC Symbol;Acc:HGNC:4599]"
"91",5.0993410435624e-57,1.71782323924543,0.987,0.701,1.03832782329018e-52,"0","msi2b","musashi RNA-binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1268]"
"92",6.25301084152933e-57,2.57432234014884,0.479,0.072,1.2732380675522e-52,"0","IGLON5","zgc:110372 [Source:ZFIN;Acc:ZDB-GENE-050417-297]"
"93",9.60751567530264e-57,1.65091624451185,0.372,0.032,1.95628234180512e-52,"0","zic5","zic family member 5 (odd-paired homolog, Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040622-1]"
"94",1.24587894336618e-56,2.08224641718866,0.645,0.166,2.53685870448222e-52,"0","ppfia4","PTPRF interacting protein alpha 4 [Source:ZFIN;Acc:ZDB-GENE-070720-14]"
"95",2.56395572089347e-56,2.24502660372333,0.573,0.116,5.22072663888329e-52,"0","fgf13a","fibroblast growth factor 13a [Source:ZFIN;Acc:ZDB-GENE-041114-101]"
"96",6.05459179873922e-56,1.89382725059467,0.748,0.231,1.23283598205928e-51,"0","dscaml1","Down syndrome cell adhesion molecule like 1 [Source:ZFIN;Acc:ZDB-GENE-110601-1]"
"97",1.16224941014266e-55,1.88208036218665,0.316,0.017,2.36657224893248e-51,"0","ARHGAP22","si:dkey-191m6.4 [Source:ZFIN;Acc:ZDB-GENE-121214-182]"
"98",2.94511476011607e-55,1.26470948893706,0.547,0.104,5.99684267454835e-51,"0","elavl4","ELAV like neuron-specific RNA binding protein 4 [Source:NCBI gene;Acc:30737]"
"99",4.77508377053905e-55,1.65155337301367,0.538,0.099,9.72302557357161e-51,"0","anks1b","ankyrin repeat and sterile alpha motif domain containing 1B [Source:NCBI gene;Acc:565408]"
"100",1.00950757142657e-53,2.27056335192767,0.393,0.043,2.05555931693878e-49,"0","gpc3","glypican 3 [Source:NCBI gene;Acc:387365]"
"101",1.17468002289145e-53,2.57597394591177,0.269,0.008,2.39188346261157e-49,"0","GPR151","G protein-coupled receptor 151 [Source:NCBI gene;Acc:497134]"
"102",1.5184323978657e-53,1.58231717877875,0.526,0.092,3.09183204853414e-49,"0","gria4b","glutamate receptor, ionotropic, AMPA 4b [Source:ZFIN;Acc:ZDB-GENE-030131-8013]"
"103",1.18818067748856e-52,1.82068369841613,0.41,0.049,2.4193734955022e-48,"0","pcbp3","poly(rC) binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-157]"
"104",1.95772211834703e-52,2.17568951299081,0.423,0.059,3.98631377737822e-48,"0","zmat4a","zinc finger, matrin-type 4a [Source:ZFIN;Acc:ZDB-GENE-081104-333]"
"105",2.05809156936347e-52,1.80393445861273,0.479,0.079,4.1906860535379e-48,"0","nell2b","neural EGFL like 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8026]"
"106",2.12450893877564e-52,1.75450293407979,0.526,0.102,4.32592510113496e-48,"0","tmeff2a","transmembrane protein with EGF-like and two follistatin-like domains 2a [Source:ZFIN;Acc:ZDB-GENE-070912-622]"
"107",5.14534312919258e-52,1.87221568506212,0.325,0.024,1.04769476796619e-47,"0","si:ch211-254n4.3","si:ch211-254n4.3 [Source:ZFIN;Acc:ZDB-GENE-081105-89]"
"108",1.26829216279336e-51,2.32667282358077,0.752,0.355,2.58249650187983e-47,"0","marcksl1b","MARCKS-like 1b [Source:NCBI gene;Acc:406504]"
"109",4.64356056773706e-51,2.07603299925567,0.444,0.073,9.4552180280262e-47,"0","zic2a","zic family member 2 (odd-paired homolog, Drosophila), a [Source:ZFIN;Acc:ZDB-GENE-000710-4]"
"110",5.26203214255748e-51,1.87509362471167,0.709,0.227,1.07145498486755e-46,"0","SRCIN1","si:ch211-278a6.1 [Source:ZFIN;Acc:ZDB-GENE-060503-699]"
"111",5.35634125617471e-51,1.50843017381525,0.419,0.057,1.09065820658229e-46,"0","irx1b","iroquois homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-010716-1]"
"112",8.66273706922141e-51,2.01503027970492,0.756,0.317,1.76390652203486e-46,"0","atp2b4","ATPase plasma membrane Ca2+ transporting 4 [Source:ZFIN;Acc:ZDB-GENE-061027-60]"
"113",1.00979871219432e-50,1.59825297786136,0.56,0.121,2.05615213777007e-46,"0","cspg5a","chondroitin sulfate proteoglycan 5a [Source:ZFIN;Acc:ZDB-GENE-080425-4]"
"114",1.98869468066867e-50,1.86556323317253,0.363,0.038,4.04938010877754e-46,"0","grm4","glutamate receptor, metabotropic 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5781]"
"115",2.09848941762783e-50,1.68347964913901,0.496,0.09,4.27294415217379e-46,"0","grin1a","glutamate receptor, ionotropic, N-methyl D-aspartate 1a [Source:ZFIN;Acc:ZDB-GENE-051202-1]"
"116",3.82524652171225e-50,1.84347067625906,0.312,0.023,7.78896696751049e-46,"0","AL954137.2","NULL"
"117",6.12061682423768e-50,1.59714925712434,0.346,0.034,1.24627999775128e-45,"0","si:ch211-151p13.8","si:ch211-151p13.8 [Source:ZFIN;Acc:ZDB-GENE-141212-230]"
"118",2.77369712511901e-49,1.83165969453884,0.261,0.01,5.64780208616733e-45,"0","si:ch211-154e10.1","si:ch211-154e10.1 [Source:ZFIN;Acc:ZDB-GENE-081104-136]"
"119",5.42292949607425e-49,1.61143442036833,0.385,0.046,1.10421690399064e-44,"0","ptprdb","protein tyrosine phosphatase receptor type Db [Source:ZFIN;Acc:ZDB-GENE-070615-38]"
"120",2.76587927092415e-48,1.27351775938016,0.303,0.022,5.63188337145575e-44,"0","ephb3a","eph receptor B3a [Source:NCBI gene;Acc:30313]"
"121",5.19014168568536e-48,1.57596818129193,0.303,0.022,1.05681665003925e-43,"0","nav2a","neuron navigator 2a [Source:ZFIN;Acc:ZDB-GENE-120502-3]"
"122",6.54970428330774e-48,1.51156388820473,0.325,0.028,1.33365078616712e-43,"0","samd11","sterile alpha motif domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-060428-2]"
"123",1.39208846575341e-47,1.34575501368394,0.47,0.081,2.8345705339671e-43,"0","zic1","zic family member 1 (odd-paired homolog, Drosophila) [Source:ZFIN;Acc:ZDB-GENE-000208-4]"
"124",1.50806377001279e-47,1.68668221526377,0.62,0.172,3.07071944850004e-43,"0","gpm6aa","glycoprotein M6Aa [Source:ZFIN;Acc:ZDB-GENE-030710-7]"
"125",1.89678486655756e-47,1.46921328860161,0.274,0.015,3.8622333452845e-43,"0","lmo1","LIM domain only 1 [Source:NCBI gene;Acc:280646]"
"126",5.34129924182242e-47,1.72752175998754,0.607,0.165,1.08759535161988e-42,"0","camk2b1","calcium/calmodulin-dependent protein kinase (CaM kinase) II beta 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9588]"
"127",9.33627545117395e-47,2.36129233287752,0.368,0.048,1.90105240736804e-42,"0","nrp1a","neuropilin 1a [Source:NCBI gene;Acc:353246]"
"128",1.35946979311552e-46,1.67109887039351,0.833,0.418,2.76815239274181e-42,"0","bcl11ba","BAF chromatin remodeling complex subunit BCL11B a [Source:ZFIN;Acc:ZDB-GENE-061207-62]"
"129",2.2242891145362e-46,1.3891641903431,0.261,0.013,4.52909749501861e-42,"0","tmem151ba","transmembrane protein 151Ba [Source:NCBI gene;Acc:100006371]"
"130",2.98591234913881e-46,2.00437840387786,0.209,0.002,6.07991472531644e-42,"0","sorcs3b","sortilin related VPS10 domain containing receptor 3b [Source:ZFIN;Acc:ZDB-GENE-131121-455]"
"131",3.21027652260913e-46,1.43738544952838,0.316,0.029,6.53676505533672e-42,"0","zic2b","zic family member 2 (odd-paired homolog, Drosophila) b [Source:ZFIN;Acc:ZDB-GENE-030219-92]"
"132",7.76854079307187e-46,1.56818966198253,0.5,0.11,1.58183027628529e-41,"0","fam126a","family with sequence similarity 126 member A [Source:NCBI gene;Acc:402926]"
"133",2.76790390334928e-45,1.13610347704212,0.295,0.023,5.63600592799981e-41,"0","sncgb","synuclein, gamma b (breast cancer-specific protein 1) [Source:ZFIN;Acc:ZDB-GENE-050522-235]"
"134",3.75828918759099e-45,1.46910782538764,0.372,0.049,7.65262844377277e-41,"0","gabrb4","gamma-aminobutyric acid type A receptor beta4 subunit [Source:ZFIN;Acc:ZDB-GENE-070424-211]"
"135",5.33386317625595e-45,1.55300628072932,0.308,0.028,1.08608121994924e-40,"0","cbarpb","CACN subunit beta associated regulatory protein b [Source:ZFIN;Acc:ZDB-GENE-050208-507]"
"136",1.22593818249736e-44,1.57133485526263,0.521,0.12,2.49625532720113e-40,"0","DOCK4","si:dkey-81e3.1 [Source:ZFIN;Acc:ZDB-GENE-120703-34]"
"137",1.50080949984314e-44,1.38180737717047,0.816,0.381,3.0559483035806e-40,"0","ptprn2","protein tyrosine phosphatase receptor type N2 [Source:ZFIN;Acc:ZDB-GENE-030131-3758]"
"138",2.88694080078679e-44,1.72110660924205,0.504,0.11,5.87838885856207e-40,"0","zgc:77784","zgc:77784 [Source:ZFIN;Acc:ZDB-GENE-040426-1874]"
"139",3.19236189984394e-44,1.81885428054432,0.389,0.062,6.50028730046223e-40,"0","osbpl3b","oxysterol binding protein-like 3b [Source:ZFIN;Acc:ZDB-GENE-090109-1]"
"140",3.35055746626908e-44,1.35427620066704,0.248,0.012,6.82240511281711e-40,"0","CR974456.1","NULL"
"141",6.8537274142367e-44,1.70033139694236,0.415,0.069,1.39555597608688e-39,"0","gria1a","glutamate receptor, ionotropic, AMPA 1a [Source:ZFIN;Acc:ZDB-GENE-020125-1]"
"142",8.56723097938216e-44,1.60257122234261,0.457,0.097,1.7444595720218e-39,"0","ywhag2","3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-061023-2]"
"143",1.7848377807517e-43,1.95726877363565,0.573,0.165,3.6342866891666e-39,"0","nrp2a","neuropilin 2a [Source:ZFIN;Acc:ZDB-GENE-040611-2]"
"144",1.86661572681808e-43,1.52547515486736,0.487,0.104,3.80080294294698e-39,"0","slc4a10a","solute carrier family 4 member 10a [Source:ZFIN;Acc:ZDB-GENE-100215-3]"
"145",7.58111551865392e-43,3.54491480177386,0.342,0.047,1.54366674190831e-38,"0","tac3a","tachykinin precursor 3a [Source:ZFIN;Acc:ZDB-GENE-090313-253]"
"146",1.11310850264449e-42,1.84188529016163,0.641,0.24,2.26651153308472e-38,"0","atp1a3a","ATPase Na+/K+ transporting subunit alpha 3a [Source:ZFIN;Acc:ZDB-GENE-001212-7]"
"147",1.40447340619871e-42,1.76374169941159,0.261,0.018,2.85978874970181e-38,"0","prkg2","protein kinase cGMP-dependent 2 [Source:ZFIN;Acc:ZDB-GENE-060531-80]"
"148",2.88884960359774e-42,1.57614104042004,0.376,0.056,5.88227556284572e-38,"0","ctnnal1","catenin (cadherin-associated protein), alpha-like 1 [Source:ZFIN;Acc:ZDB-GENE-060503-507]"
